epoch,box,dfl,cls,Recall,Precision,mAP@50,mAP
302,1.225,1.225,0.709,0.732,0.732,0.836,0.534
303,1.226,1.226,0.706,0.732,0.732,0.836,0.534
304,1.227,1.227,0.705,0.732,0.732,0.836,0.534
305,1.230,1.230,0.708,0.732,0.732,0.836,0.534
306,1.227,1.227,0.706,0.732,0.732,0.836,0.534
307,1.225,1.225,0.706,0.732,0.732,0.836,0.534
308,1.222,1.222,0.706,0.732,0.732,0.836,0.534
309,1.225,1.225,0.704,0.733,0.733,0.836,0.534
310,1.227,1.227,0.706,0.732,0.732,0.836,0.534
311,1.224,1.224,0.706,0.733,0.733,0.836,0.534
312,1.229,1.229,0.708,0.732,0.732,0.836,0.534
313,1.223,1.223,0.704,0.733,0.733,0.837,0.534
314,1.224,1.224,0.706,0.732,0.732,0.837,0.535
315,1.222,1.222,0.705,0.732,0.732,0.836,0.534
316,1.222,1.222,0.706,0.732,0.732,0.836,0.535
317,1.224,1.224,0.704,0.732,0.732,0.837,0.535
318,1.223,1.223,0.703,0.732,0.732,0.836,0.535
319,1.222,1.222,0.702,0.733,0.733,0.836,0.534
320,1.224,1.224,0.706,0.732,0.732,0.836,0.535
321,1.221,1.221,0.704,0.732,0.732,0.836,0.534
322,1.217,1.217,0.699,0.733,0.733,0.836,0.534
323,1.219,1.219,0.701,0.732,0.732,0.836,0.535
324,1.221,1.221,0.701,0.732,0.732,0.836,0.535
325,1.219,1.219,0.702,0.733,0.733,0.837,0.535
326,1.223,1.223,0.704,0.732,0.732,0.837,0.535
327,1.222,1.222,0.700,0.732,0.732,0.836,0.534
328,1.219,1.219,0.702,0.732,0.732,0.836,0.534
329,1.217,1.217,0.700,0.732,0.732,0.837,0.535
330,1.214,1.214,0.700,0.733,0.733,0.836,0.534
331,1.213,1.213,0.699,0.732,0.732,0.837,0.535
332,1.220,1.220,0.702,0.732,0.732,0.836,0.535
333,1.216,1.216,0.698,0.732,0.732,0.837,0.535
334,1.215,1.215,0.698,0.733,0.733,0.837,0.535
335,1.216,1.216,0.699,0.733,0.733,0.836,0.535
336,1.218,1.218,0.700,0.733,0.733,0.836,0.535
337,1.218,1.218,0.700,0.733,0.733,0.837,0.535
338,1.213,1.213,0.697,0.733,0.733,0.837,0.535
339,1.218,1.218,0.698,0.733,0.733,0.837,0.535
340,1.215,1.215,0.698,0.732,0.732,0.837,0.535
341,1.219,1.219,0.699,0.733,0.733,0.837,0.535
342,1.216,1.216,0.698,0.733,0.733,0.837,0.535
343,1.218,1.218,0.699,0.733,0.733,0.837,0.535
344,1.215,1.215,0.697,0.732,0.732,0.837,0.535
345,1.213,1.213,0.695,0.733,0.733,0.837,0.535
346,1.215,1.215,0.696,0.733,0.733,0.837,0.535
347,1.213,1.213,0.695,0.733,0.733,0.837,0.535
348,1.217,1.217,0.698,0.733,0.733,0.837,0.535
349,1.215,1.215,0.697,0.733,0.733,0.837,0.535
350,1.214,1.214,0.698,0.733,0.733,0.837,0.535
351,1.211,1.211,0.696,0.733,0.733,0.837,0.535
352,1.211,1.211,0.696,0.732,0.732,0.837,0.535
353,1.208,1.208,0.696,0.733,0.733,0.837,0.535
354,1.210,1.210,0.695,0.733,0.733,0.837,0.535
355,1.213,1.213,0.696,0.733,0.733,0.837,0.535
356,1.212,1.212,0.694,0.733,0.733,0.837,0.535
357,1.213,1.213,0.698,0.733,0.733,0.837,0.535
358,1.215,1.215,0.695,0.732,0.732,0.837,0.535
359,1.204,1.204,0.691,0.732,0.732,0.837,0.535
360,1.214,1.214,0.695,0.732,0.732,0.837,0.535
361,1.207,1.207,0.691,0.732,0.732,0.837,0.535
362,1.206,1.206,0.693,0.732,0.732,0.837,0.535
363,1.208,1.208,0.692,0.731,0.731,0.837,0.535
364,1.209,1.209,0.692,0.731,0.731,0.837,0.535
365,1.205,1.205,0.693,0.731,0.731,0.837,0.535
366,1.210,1.210,0.695,0.731,0.731,0.837,0.535
367,1.207,1.207,0.692,0.732,0.732,0.837,0.535
368,1.207,1.207,0.693,0.732,0.732,0.837,0.535
369,1.202,1.202,0.686,0.731,0.731,0.837,0.535
370,1.209,1.209,0.691,0.731,0.731,0.837,0.535
371,1.212,1.212,0.695,0.731,0.731,0.837,0.535
372,1.204,1.204,0.689,0.731,0.731,0.837,0.535
373,1.209,1.209,0.693,0.731,0.731,0.837,0.535
374,1.207,1.207,0.692,0.731,0.731,0.837,0.535
375,1.206,1.206,0.691,0.731,0.731,0.837,0.535
376,1.206,1.206,0.688,0.732,0.732,0.837,0.535
377,1.208,1.208,0.688,0.732,0.732,0.837,0.535
378,1.203,1.203,0.689,0.731,0.731,0.837,0.535
379,1.206,1.206,0.689,0.731,0.731,0.837,0.535
380,1.206,1.206,0.688,0.731,0.731,0.837,0.535
381,1.204,1.204,0.688,0.731,0.731,0.837,0.535
382,1.205,1.205,0.689,0.732,0.732,0.837,0.535
383,1.201,1.201,0.688,0.731,0.731,0.837,0.535
384,1.210,1.210,0.692,0.731,0.731,0.837,0.535
385,1.203,1.203,0.689,0.732,0.732,0.837,0.535
386,1.204,1.204,0.690,0.732,0.732,0.837,0.535
387,1.201,1.201,0.688,0.732,0.732,0.837,0.535
388,1.199,1.199,0.687,0.731,0.731,0.837,0.535
389,1.200,1.200,0.687,0.731,0.731,0.837,0.535
390,1.202,1.202,0.687,0.732,0.732,0.837,0.535
391,1.200,1.200,0.684,0.732,0.732,0.837,0.535
392,1.206,1.206,0.688,0.732,0.732,0.837,0.535
393,1.197,1.197,0.684,0.732,0.732,0.838,0.535
394,1.201,1.201,0.688,0.732,0.732,0.838,0.535
395,1.200,1.200,0.685,0.732,0.732,0.838,0.535
396,1.200,1.200,0.685,0.733,0.733,0.838,0.535
397,1.199,1.199,0.685,0.732,0.732,0.838,0.535
398,1.197,1.197,0.686,0.733,0.733,0.838,0.535
399,1.202,1.202,0.689,0.732,0.732,0.838,0.535
400,1.196,1.196,0.684,0.732,0.732,0.838,0.535
401,1.200,1.200,0.685,0.733,0.733,0.838,0.535
402,1.199,1.199,0.686,0.733,0.733,0.838,0.535
403,1.201,1.201,0.684,0.733,0.733,0.838,0.535
404,1.195,1.195,0.681,0.733,0.733,0.838,0.535
405,1.191,1.191,0.680,0.733,0.733,0.838,0.535
406,1.200,1.200,0.685,0.732,0.732,0.838,0.535
407,1.197,1.197,0.684,0.732,0.732,0.838,0.535
408,1.195,1.195,0.680,0.732,0.732,0.838,0.535
409,1.196,1.196,0.681,0.732,0.732,0.838,0.535
410,1.195,1.195,0.681,0.732,0.732,0.838,0.535
411,1.199,1.199,0.682,0.732,0.732,0.838,0.535
412,1.197,1.197,0.684,0.732,0.732,0.838,0.535
413,1.194,1.194,0.683,0.732,0.732,0.838,0.535
414,1.192,1.192,0.680,0.732,0.732,0.838,0.535
415,1.193,1.193,0.681,0.732,0.732,0.838,0.535
416,1.194,1.194,0.680,0.732,0.732,0.838,0.535
417,1.194,1.194,0.679,0.732,0.732,0.838,0.535
418,1.196,1.196,0.682,0.733,0.733,0.838,0.535
419,1.194,1.194,0.680,0.733,0.733,0.838,0.535
420,1.196,1.196,0.681,0.732,0.732,0.838,0.535
421,1.193,1.193,0.680,0.733,0.733,0.838,0.535
422,1.192,1.192,0.678,0.733,0.733,0.838,0.535
423,1.193,1.193,0.681,0.732,0.732,0.838,0.535
424,1.187,1.187,0.679,0.732,0.732,0.838,0.535
425,1.188,1.188,0.678,0.732,0.732,0.838,0.535
426,1.187,1.187,0.679,0.732,0.732,0.838,0.535
427,1.191,1.191,0.680,0.732,0.732,0.838,0.535
428,1.190,1.190,0.678,0.733,0.733,0.838,0.535
429,1.188,1.188,0.678,0.733,0.733,0.838,0.535
430,1.188,1.188,0.677,0.733,0.733,0.838,0.535
431,1.185,1.185,0.676,0.732,0.732,0.838,0.535
432,1.183,1.183,0.675,0.732,0.732,0.838,0.535
433,1.188,1.188,0.678,0.732,0.732,0.838,0.535
434,1.191,1.191,0.680,0.732,0.732,0.838,0.535
435,1.189,1.189,0.675,0.732,0.732,0.838,0.535
436,1.186,1.186,0.675,0.732,0.732,0.838,0.535
437,1.187,1.187,0.676,0.733,0.733,0.838,0.535
438,1.190,1.190,0.676,0.733,0.733,0.838,0.535
439,1.187,1.187,0.675,0.733,0.733,0.838,0.535
440,1.188,1.188,0.676,0.733,0.733,0.838,0.535
441,1.183,1.183,0.673,0.733,0.733,0.838,0.535
442,1.185,1.185,0.673,0.733,0.733,0.838,0.535
443,1.187,1.187,0.675,0.733,0.733,0.839,0.535
444,1.188,1.188,0.676,0.734,0.734,0.839,0.535
445,1.182,1.182,0.675,0.733,0.733,0.838,0.535
446,1.188,1.188,0.674,0.733,0.733,0.839,0.535
447,1.181,1.181,0.671,0.733,0.733,0.838,0.535
448,1.184,1.184,0.673,0.733,0.733,0.838,0.535
449,1.180,1.180,0.670,0.733,0.733,0.838,0.535
450,1.182,1.182,0.672,0.733,0.733,0.838,0.535
451,1.181,1.181,0.671,0.733,0.733,0.838,0.535
452,1.181,1.181,0.671,0.733,0.733,0.839,0.535
453,1.181,1.181,0.672,0.732,0.732,0.839,0.535
454,1.180,1.180,0.671,0.732,0.732,0.838,0.535
455,1.185,1.185,0.673,0.732,0.732,0.839,0.535
456,1.182,1.182,0.671,0.732,0.732,0.838,0.535
457,1.181,1.181,0.671,0.732,0.732,0.839,0.535
458,1.176,1.176,0.667,0.733,0.733,0.839,0.535
459,1.179,1.179,0.670,0.733,0.733,0.838,0.535
460,1.180,1.180,0.671,0.733,0.733,0.838,0.535
461,1.175,1.175,0.668,0.733,0.733,0.838,0.535
